CaptureDate,CaptureTime,LinkID,VehicleGroup,PatchType,Duration,Observations,,,,,,,,
2011/1/2,7200,1309,1002,0,335,9,,,,,,,,
2011/1/2,7500,1309,1002,0,296,9,,,,,,,,
2011/1/2,7800,1309,1002,0,318,7,,,,,,,,
2011/1/2,8100,1309,1002,0,294,12,,,,,,,,
2011/1/2,8400,1309,1002,0,293,10,,,,,,,,
2011/1/2,8700,1309,1002,0,287,12,,,,,,,,
2011/1/2,9000,1309,1002,0,329,13,,,,,,,,
2011/1/2,9300,1309,1002,0,325,8,,,,,,,,
2011/1/2,9600,1309,1002,0,323,9,,,,,,,,
2011/1/2,9900,1309,1002,0,286,6,,,,,,,,
2011/1/2,10200,1309,1002,0,321,3,,,,,,,,
2011/1/2,10500,1309,1002,0,305,7,,,,,,,,
2011/1/2,10800,1309,1002,0,356,6,,,,,,,,
2011/1/2,11100,1309,1002,0,287,7,,,,,,,,
2011/1/2,11400,1309,1002,0,314,8,,,,,,,,
2011/1/2,11700,1309,1002,0,295,11,,,,,,,,
2011/1/2,12000,1309,1002,0,327,9,,,,,,,,
2011/1/2,12300,1309,1002,0,302,6,,,,,,,,
2011/1/2,12600,1309,1002,0,382,5,,,,,,,,
2011/1/2,12900,1309,1002,0,324,10,,,,,,,,
2011/1/2,13200,1309,1002,0,296,5,,,,,,,,
2011/1/2,13500,1309,1002,0,334,10,,,,,,,,
2011/1/2,13800,1309,1002,0,300,8,,,,,,,,
2011/1/2,14100,1309,1002,0,322,6,,,,,,,,
2011/1/2,14400,1309,1002,0,306,10,,,,,,,,
2011/1/2,14700,1309,1002,0,287,11,,,,,,,,
2011/1/2,15000,1309,1002,0,336,3,,,,,,,,
2011/1/2,15300,1309,1002,0,276,3,,,,,,,,
2011/1/2,15600,1309,1002,0,313,9,,,,,,,,
2011/1/2,15900,1309,1002,0,314,3,,,,,,,,
2011/1/2,16200,1309,1002,0,311,12,,,,,,,,
2011/1/2,16500,1309,1002,0,339,9,,,,,,,,
2011/1/2,16800,1309,1002,0,314,4,,,,,,,,
2011/1/2,17100,1309,1002,0,317,9,,,,,,,,
2011/1/2,17400,1309,1002,0,334,8,,,,,,,,
2011/1/2,17700,1309,1002,0,322,9,,,,,,,,
2011/1/2,18000,1309,1002,0,310,5,,,,,,,,
2011/1/2,18300,1309,1002,0,322,4,,,,,,,,
2011/1/2,18600,1309,1002,0,347,6,,,,,,,,
2011/1/2,18900,1309,1002,0,316,5,,,,,,,,
